"","playername","team","year","age","height","weight","careergamesplayed","goals","seasongames","seasongoals"
"2","Jarryd Roughead","hawthorn",2014,"27yr","193cm","100kg","184","366","23","75"
"3","Jordan Lewis","hawthorn",2014,"27yr","186cm","88kg","193","107","24","17"
"4","Matt Suckling","hawthorn",2014,"25yr","187cm","86kg","54","24","23","12"
"5","Sam Mitchell","hawthorn",2014,"31yr","179cm","83kg","245","58","16","3"
"6","Josh Gibson","hawthorn",2014,"30yr","189cm","94kg","148","2","17","0"
"7","Ben McEvoy","hawthorn",2014,"24yr","200cm","103kg","91","27","13","6"
"8","Taylor Duryea","hawthorn",2014,"22yr","179cm","80kg","18","0","23","6"
"9","Shaun Burgoyne","hawthorn",2014,"31yr","186cm","89kg","244","223","25","12"
"10","Brad Hill","hawthorn",2014,"20yr","180cm","78kg","29","21","22","10"
"11","Brendan Whitecross","hawthorn",2014,"24yr","183cm","86kg","84","38","0","0"
"12","Brad Sewell","hawthorn",2014,"30yr","181cm","85kg","190","28","10","4"
"13","Kyle Cheney","hawthorn",2014,"24yr","186cm","90kg","32","2","9","0"
"14","Grant Birchall","hawthorn",2014,"26yr","193cm","91kg","169","22","25","5"
"15","Luke Hodge","hawthorn",2014,"29yr","185cm","90kg","228","155","22","12"
"16","Isaac Smith","hawthorn",2014,"25yr","188cm","82kg","62","55","24","24"
"17","Brian Lake","hawthorn",2014,"32yr","195cm","100kg","218","34","11","0"
"18","Jonathon Ceglar","hawthorn",2014,"23yr","204cm","94kg","2","1","15","8"
"19","Jack Gunston","hawthorn",2014,"22yr","193cm","84kg","56","105","23","58"
"20","David Hale","hawthorn",2014,"29yr","201cm","102kg","197","182","22","22"
"21","Ben Ross","hawthorn",2014,"25yr","179cm","79kg","14","4","4","1"
"22","Luke Breust","hawthorn",2014,"23yr","184cm","84kg","66","115","25","57"
"23","Tim O'Brien","hawthorn",2014,"20yr","193cm","81kg","0","0","4","2"
"24","Ben Stratton","hawthorn",2014,"25yr","189cm","89kg","77","1","15","0"
"25","Ryan Schoenmakers","hawthorn",2014,"23yr","195cm","93kg","64","5","15","8"
"26","Liam Shiels","hawthorn",2014,"22yr","183cm","84kg","81","22","21","8"
"27","Matthew Spangher","hawthorn",2014,"26yr","195cm","96kg","36","13","15","0"
"28","Paul Puopolo","hawthorn",2014,"26yr","173cm","76kg","63","47","25","22"
"29","Will Langford","hawthorn",2014,"21yr","187cm","83kg","1","0","19","9"
"30","Luke Lowden","hawthorn",2014,"23yr","204cm","102kg","0","0","1","3"
"31","Angus Dewar","hawthorn",2014,"21yr","192cm","90kg","0","0","13","0"
"32","Jonathan Simpkin","hawthorn",2014,"26yr","181cm","80kg","18","7","18","9"
"33","Cyril Rioli","hawthorn",2014,"24yr","177cm","80kg","121","159","12","20"
"34","Jordan Kelly","hawthorn",2014,"20yr","191cm","85kg","0","0","0","0"
"35","Sam Grimley","hawthorn",2014,"23yr","199cm","96kg","3","3","0","0"
"36","Derick Wanganeen","hawthorn",2014,"23yr","174cm","75kg","0","0","1","0"
"37","Jed Anderson","hawthorn",2014,"20yr","178cm","75kg","6","3","0","0"
"38","Mitch Hallahan","hawthorn",2014,"21yr","183cm","84kg","0","0","6","2"
"39","Alex Woodward","hawthorn",2014,"20yr","182cm","79kg","0","0","2","0"
"40","Billy Hartung","hawthorn",2014,"19yr","178cm","67kg","0","0","7","3"
"41","James Sicily","hawthorn",2014,"19yr","186cm","77kg","0","0","0","0"
"42","Kaiden Brand","hawthorn",2014,"20yr","198cm","92kg","0","0","0","0"
"43","Dallas Willsmore","hawthorn",2014,"18yr","191cm","85kg","0","0","0","0"
"44","Dayle Garlett","hawthorn",2014,"20yr","182cm","73kg","0","0","0","0"
"45","Zac Webster","hawthorn",2014,"18yr","182cm","75kg","0","0","0","0"
"46","Kurt Heatherley","hawthorn",2014,"19yr","193cm","89kg","0","0","0","0"
"47","Shem Tatupu","hawthorn",2014,"18yr","192cm","93kg","0","0","0","0"
